# 1.Dataset  2.sqrt_N0  3.N1  4.P  5.Ptest  6.T  7.lambda0  8.lambda1  9.noise  10.theory
cifar10 32 2000 500 1000 0.5 1.0 1.0 0.0 0.23651968435896395
cifar10 32 2100 525 1000 0.5 1.0 1.0 0.0 0.2335661048063973
cifar10 32 2200 550 1000 0.5 1.0 1.0 0.0 0.2331249656580095
cifar10 32 2300 575 1000 0.5 1.0 1.0 0.0 0.23027469276337836
cifar10 32 2400 600 1000 0.5 1.0 1.0 0.0 0.23071270338318958
cifar10 32 2500 625 1000 0.5 1.0 1.0 0.0 0.2305074100470981
cifar10 32 2600 650 1000 0.5 1.0 1.0 0.0 0.2306219387795816
cifar10 32 2700 675 1000 0.5 1.0 1.0 0.0 0.22875868410970207
cifar10 32 2800 700 1000 0.5 1.0 1.0 0.0 0.2278061281362895
cifar10 32 2900 725 1000 0.5 1.0 1.0 0.0 0.2271415046562325
cifar10 32 3000 750 1000 0.5 1.0 1.0 0.0 0.22581218834211933
cifar10 32 3100 775 1000 0.5 1.0 1.0 0.0 0.2247912070718288
cifar10 32 3200 800 1000 0.5 1.0 1.0 0.0 0.22280304982128854
cifar10 32 3300 825 1000 0.5 1.0 1.0 0.0 0.22192979571228297
cifar10 32 3400 850 1000 0.5 1.0 1.0 0.0 0.2202025237026173
cifar10 32 3500 875 1000 0.5 1.0 1.0 0.0 0.22035738941649827
cifar10 32 3600 900 1000 0.5 1.0 1.0 0.0 0.21950532891809427
cifar10 32 3700 925 1000 0.5 1.0 1.0 0.0 0.21853155544772962
cifar10 32 3800 950 1000 0.5 1.0 1.0 0.0 0.21752406972999075
cifar10 32 3900 975 1000 0.5 1.0 1.0 0.0 0.21664674147219903
cifar10 32 4000 1000 1000 0.5 1.0 1.0 0.0 0.2155836527690165
cifar10 32 4100 1025 1000 0.5 1.0 1.0 0.0 0.21452277155653035
cifar10 32 4200 1050 1000 0.5 1.0 1.0 0.0 0.21376863574565125
cifar10 32 4300 1075 1000 0.5 1.0 1.0 0.0 0.21375225219602867
cifar10 32 4400 1100 1000 0.5 1.0 1.0 0.0 0.21298235936932522
cifar10 32 4500 1125 1000 0.5 1.0 1.0 0.0 0.21201428339469833
cifar10 32 4600 1150 1000 0.5 1.0 1.0 0.0 0.21098193753815328
cifar10 32 4700 1175 1000 0.5 1.0 1.0 0.0 0.21045046632206177
cifar10 32 4800 1200 1000 0.5 1.0 1.0 0.0 0.20961456379822455
cifar10 32 4900 1225 1000 0.5 1.0 1.0 0.0 0.2085504187616032
cifar10 32 100 25 1000 1.0 1.0 1.0 0.0 0.48499580592178215
cifar10 32 200 50 1000 1.0 1.0 1.0 0.0 0.424452592073327
